,Mana,DBFLD,Name,Rarity,Card Set,Class,N,G,W1,W2,Type,Tribe,ATK,HP,Card Text,Keywords,Format,Tier List,,#Rarity,#Collection,#Class,(N) P-Total,(N) U-Total,(N) Gold,Missing,Use W1?,Use W2?,1-W1,1-W2,W-Total,(G) P-Total,(G) U-Total,(G) Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47458,Chief Inspector,Rare,Woods,Neutral,2,0,25%,25%,Minion,,4,6,Battlecry: Destroy all enemy Secrets.,Battlecry,Standard,FALSE,,2,13,10,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,GvG,3,,,Legendary,,4,,Priest,,5,,Legendary,,,400,,,,,,,,,,,,,,,,,,,,,
,5,47429,Curio Collector,Rare,Woods,Mage,2,0,25%,25%,Minion,,4,4,"Whenever you draw a card, gain +1/+1.",,Standard,FALSE,,2,13,3,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,Blackrock,4,,,,,,,Rogue,,6,,Basic,,,0,,,,,,,,,,,,,,,,,,,,,
,5,47516,Festeroot Hulk,Rare,Woods,Warrior,2,0,25%,25%,Minion,,2,7,"After a friendly minion attacks, gain +1 Attack.",,Standard,FALSE,,2,13,9,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,TGT,5,,,,,,,Shaman,,7,,Common,,,50,,,,,,,,,,,,,,,,,,,,,
,5,46694,Holy Water,Rare,Woods,Priest,2,1,35%,35%,Spell,,,,"Deal 4 damage to a minion. If that kills it, add a copy of it to your hand.",,Standard,FALSE,,2,13,5,2,1,100,0,FALSE,FALSE,65%,65%,2,1,1,20,,,LoE,6,,,,,,,Warlock,,8,,Rare,,,100,,,,,,,,,,,,,,,,,,,,,
,5,47346,Witchwood Grizzly,Rare,Woods,Neutral,2,0,65%,65%,Minion,Beast,3,12,Taunt Battlecry: Lose 1 Health for each card in your opponent's hand.,Battlecry; Taunt,Standard,FALSE,,2,13,10,2,1,0,0,FALSE,FALSE,35%,35%,2,0,1,0,,,ToG,7,,,,,,,Warrior,,9,,Epic,,,400,,,,,,,,,,,,,,,,,,,,,
,6,47836,Coffin Crasher,Rare,Woods,Priest,2,1,39%,39%,Minion,,6,5,Deathrattle: Summon a Deathrattle minion from your hand.,Deathrattle,Standard,FALSE,,2,13,5,2,1,100,0,FALSE,FALSE,61%,61%,2,1,1,20,,,Kara,8,,,,,,,Neutral,,10,,Legendary,,,1600,,,,,,,,,,,,,,,,,,,,,
,6,47071,Cursed Castaway,Rare,Woods,Rogue,2,0,25%,25%,Minion,Pirate,5,3,Rush Deathrattle: Draw a Combo card from your deck.,Deathrattle; Rush,Standard,FALSE,,2,13,6,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,MSG,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,46862,Nightscale Matriarch,Rare,Woods,Priest,2,0,40%,35%,Minion,Dragon,4,9,"Whenever a friendly minion is healed, summon a 3/3 Whelp.",,Standard,FALSE,,2,13,5,2,1,0,0,FALSE,FALSE,60%,65%,2,0,1,0,,,Un'Goro,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,46601,Gilnean Royal Guard,Rare,Woods,Neutral,2,0,25%,25%,Minion,,3,8,"Divine Shield, Rush Each turn this is in your hand, swap its Attack and Health.",Divine Shield; Rush,Standard,FALSE,,2,13,10,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,KFT,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,47201,Silver Sword,Rare,Woods,Paladin,2,0,39%,39%,Weapon,,3,,"After your hero attacks, give your minions +1/+1.",,Standard,FALSE,,2,13,4,2,1,0,0,FALSE,FALSE,61%,61%,2,0,1,0,,,KnC,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48832,Hidden Wisdom,Epic,Woods,Paladin,1,0,30%,30%,Spell,,,,"Secret: After your opponent plays three cards in a turn, draw 2 cards.",Secret,Standard,FALSE,,3,13,4,1,1,0,1,FALSE,TRUE,70%,70%,1.7,0,1,0,,,Woods,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,47133,Town Crier,Epic,Woods,Warrior,2,0,55%,55%,Minion,,1,2,Battlecry: Draw a Rush minion from your deck.,Battlecry,Standard,FALSE,,3,13,9,2,1,0,0,FALSE,FALSE,45%,45%,2,0,1,0,,,Boomsday,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48039,Baleful Banker,Epic,Woods,Neutral,1,0,45%,35%,Minion,,2,2,Battlecry: Choose a friendly minion. Shuffle a copy into your deck.,Battlecry,Standard,FALSE,,3,13,10,1,1,0,1,FALSE,TRUE,55%,65%,1.65,0,1,0,,,WI18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47054,Book of Specters,Epic,Woods,Mage,1,0,38%,38%,Spell,,,,Draw 3 cards. Discard any spells drawn.,,Standard,FALSE,,3,13,3,1,1,0,1,FALSE,TRUE,62%,62%,1.62,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47416,Cathedral Gargoyle,Epic,Woods,Paladin,2,0,35%,35%,Minion,,2,2,"Battlecry: If you're holding a Dragon, gain Taunt and Divine Shield.",Battlecry,Standard,FALSE,,3,13,4,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47128,Rat Trap,Epic,Woods,Hunter,1,0,30%,30%,Spell,,,,"Secret: After your opponent plays three cards in a turn, summon a 6/6 Rat.",Secret,Standard,FALSE,,3,13,2,1,1,0,1,FALSE,TRUE,70%,70%,1.7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,49502,Nightmare Amalgam,Epic,Woods,Neutral,2,0,40%,40%,Minion,All,3,4,"This is an Elemental, Mech, Demon, Murloc, Dragon, Beast, Pirate and Totem.",,Standard,FALSE,,3,13,10,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,46936,Ratcatcher,Epic,Woods,Warlock,2,0,30%,30%,Minion,,2,2,Rush Battlecry: Destroy a friendly minion and gain its Attack and Health.,Battlecry; Rush,Standard,FALSE,,3,13,8,2,1,0,0,FALSE,FALSE,70%,70%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48002,Vivid Nightmare,Epic,Woods,Priest,2,0,40%,40%,Spell,,,,Choose a friendly minion. Summon a copy of it with 1 Health remaining.,,Standard,FALSE,,3,13,5,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,47287,Voodoo Doll,Epic,Woods,Neutral,2,0,75%,75%,Minion,,1,1,Battlecry: Choose a minion. Deathrattle: Destroy the chosen minion.,Battlecry; Deathrattle,Standard,FALSE,,3,13,10,2,1,0,0,FALSE,FALSE,25%,25%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48110,Witch's Cauldron,Epic,Woods,Neutral,2,0,25%,20%,Minion,,0,4,"After a friendly minion dies, add a random Shaman spell to your hand.",,Standard,FALSE,,3,13,10,2,1,0,0,FALSE,FALSE,75%,80%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,46654,Arcane Keysmith,Epic,Woods,Mage,2,0,40%,40%,Minion,,2,2,Battlecry: Discover a Secret. Put it into the battlefield.,Battlecry,Standard,FALSE,,3,13,3,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47134,Sandbinder,Epic,Woods,Neutral,2,0,45%,30%,Minion,,2,4,Battlecry: Draw an Elemental from your deck.,Battlecry,Standard,FALSE,,3,13,10,2,1,0,0,FALSE,FALSE,55%,70%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47594,Spectral Cutlass,Epic,Woods,Rogue,1,0,35%,35%,Weapon,,2,,"Lifesteal Whenever you play a card from another class, gain +1 Durability.",Lifesteal,Standard,FALSE,,3,13,6,1,1,0,1,FALSE,TRUE,65%,65%,1.65,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47138,Totem Cruncher,Epic,Woods,Shaman,1,1,20%,20%,Minion,Beast,2,3,Taunt Battlecry: Destroy your Totems. Gain +2/+2 for each destroyed.,Battlecry; Taunt,Standard,FALSE,,3,13,7,2,1,0,0,FALSE,FALSE,80%,80%,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47256,Toxmonger,Epic,Woods,Hunter,0,0,20%,20%,Minion,,2,4,"Whenever you play a 1-Cost minion, give it Poisonous.",,Standard,FALSE,,3,13,2,0,0,0,2,TRUE,TRUE,80%,80%,1.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47625,WANTED!,Epic,Woods,Rogue,1,0,20%,20%,Spell,,,,"Deal 3 damage to a minion. If that kills it, add a Coin to your hand.",,Standard,FALSE,,3,13,6,1,1,0,1,FALSE,TRUE,80%,80%,1.8,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47063,Wispering Woods,Epic,Woods,Druid,2,0,75%,75%,Spell,,,,Summon a 1/1 Wisp for each card in your hand.,,Standard,FALSE,,3,13,1,2,1,0,0,FALSE,FALSE,25%,25%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47085,Deathweb Spider,Epic,Woods,Warlock,1,0,25%,25%,Minion,Beast,4,6,"Battlecry: If your hero took damage this turn, gain Lifesteal.",Battlecry,Standard,FALSE,,3,13,8,1,1,0,1,FALSE,TRUE,75%,75%,1.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,48444,Glitter Moth,Epic,Woods,Priest,1,0,30%,30%,Minion,Beast,4,4,"Battlecry: If your deck has only odd-Cost cards, double the Health of your other minions.",Battlecry,Standard,FALSE,,3,13,5,1,1,0,1,FALSE,TRUE,70%,70%,1.7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,46680,Gloom Stag,Epic,Woods,Druid,0,0,30%,30%,Minion,Beast,2,6,"Taunt Battlecry: If your deck has only odd-Cost cards, gain +2/+2.",Battlecry; Taunt,Standard,FALSE,,3,13,1,0,0,0,2,TRUE,TRUE,70%,70%,1.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47606,Muck Hunter,Epic,Woods,Neutral,2,1,30%,30%,Minion,,5,8,Rush Battlecry: Summon two 2/1 Mucklings for your opponent.,Battlecry; Rush,Standard,FALSE,,3,13,10,2,1,400,0,FALSE,FALSE,70%,70%,2,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,47016,Deadly Arsenal,Epic,Woods,Warrior,2,0,20%,20%,Spell,,,,Reveal a weapon from your deck. Deal its Attack to all minions.,,Standard,FALSE,,3,13,9,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,46667,Mossy Horror,Epic,Woods,Neutral,1,1,65%,35%,Minion,,2,7,Battlecry: Destroy all other minions with 2 or less Attack.,Battlecry,Standard,FALSE,,3,13,10,2,1,0,0,FALSE,FALSE,35%,65%,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,47873,Bogshaper,Epic,Woods,Shaman,2,0,35%,35%,Minion,Elemental,4,8,"Whenever you cast a spell, draw a minion from your deck.",,Standard,FALSE,,3,13,7,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,46655,Worgen Abomination,Epic,Woods,Neutral,2,1,30%,30%,Minion,,6,6,"At the end of your turn, deal 2 damage to all other damaged minions.",,Standard,FALSE,,3,13,10,2,1,400,0,FALSE,FALSE,70%,70%,2,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,47292,Splitting Festeroot,Epic,Woods,Neutral,2,1,25%,25%,Minion,,4,4,Deathrattle: Summon two 2/2 Splitting Saplings.,Deathrattle,Standard,FALSE,,3,13,10,2,1,400,0,FALSE,FALSE,75%,75%,2,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,46706,Chameleos,Legendary,Woods,Priest,0,0,30%,,Minion,Beast,1,1,"Each turn this is in your hand, transform it into a card your opponent is holding.",,Standard,FALSE,,4,13,5,0,0,0,1,TRUE,FALSE,70%,100%,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47692,Archmage Arugal,Legendary,Woods,Mage,1,0,35%,,Minion,,2,2,"Whenever you draw a minion, add a copy of it to your hand.",,Standard,FALSE,,4,13,3,1,1,0,0,FALSE,FALSE,65%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,47599,Face Collector,Legendary,Woods,Rogue,0,0,20%,,Minion,,2,2,Echo Battlecry: Add a random Legendary minion to your hand.,Battlecry; Echo,Standard,FALSE,,4,13,6,0,0,0,1,TRUE,FALSE,80%,100%,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,47488,Houndmaster Shaw,Legendary,Woods,Hunter,1,0,70%,,Minion,,3,6,Your other minions have Rush.,,Standard,FALSE,,4,13,2,1,1,0,0,FALSE,FALSE,30%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,48107,The Glass Knight,Legendary,Woods,Paladin,1,0,35%,,Minion,,4,3,"Divine Shield Whenever you restore Health, gain Divine Shield.",Divine Shield,Standard,FALSE,,4,13,4,1,1,0,0,FALSE,FALSE,65%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47053,Darius Crowley,Legendary,Woods,Warrior,1,0,60%,,Minion,,4,4,"Rush After this attacks and kills a minion, gain +2/+2.",Rush,Standard,FALSE,,4,13,9,1,1,0,0,FALSE,FALSE,40%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47298,Dollmaster Dorian,Legendary,Woods,Neutral,0,0,20%,,Minion,,2,6,"Whenever you draw a minion, summon a 1/1 copy of it.",,Standard,FALSE,,4,13,10,0,0,0,1,TRUE,FALSE,80%,100%,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47819,Duskfallen Aviana,Legendary,Woods,Druid,0,0,5%,,Minion,,3,7,"On each player's turn, the first card played costs (0).",,Standard,FALSE,,4,13,1,0,0,0,1,TRUE,FALSE,95%,100%,0.95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,47696,Prince Liam,Legendary,Woods,Paladin,1,0,25%,,Minion,,5,5,Battlecry: Transform all 1-Cost cards in your deck  into Legendary minions.,Battlecry,Standard,FALSE,,4,13,4,1,1,0,0,FALSE,FALSE,75%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,47693,Genn Greymane,Legendary,Woods,Neutral,1,0,100%,,Minion,,6,5,"Start of Game: If your deck has only even- Cost cards, your starting Hero Power costs (1).",Start of Game,Standard,FALSE,,4,13,10,1,1,0,0,FALSE,FALSE,0%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,47295,Glinda Crowskin,Legendary,Woods,Warlock,1,0,35%,,Minion,,3,7,Minions in your hand have Echo.,,Standard,FALSE,,4,13,8,1,1,0,0,FALSE,FALSE,65%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,48560,Lady in White,Legendary,Woods,Priest,1,0,25%,,Minion,,5,5,Battlecry: Cast 'Inner Fire'  on every minion in your deck  (set Attack equal to Health).,Battlecry,Standard,FALSE,,4,13,5,1,1,0,0,FALSE,FALSE,75%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,47055,"Toki, Time-Tinker",Legendary,Woods,Mage,1,0,30%,,Minion,,5,5,Battlecry: Add a random Legendary minion from the past to your hand.,Battlecry,Standard,FALSE,,4,13,3,1,1,0,0,FALSE,FALSE,70%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,46874,Azalina Soulthief,Legendary,Woods,Neutral,1,0,45%,,Minion,,3,3,Battlecry: Replace your hand with a copy of your opponent's.,Battlecry,Standard,FALSE,,4,13,10,1,1,0,0,FALSE,FALSE,55%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,46721,Blackhowl Gunspire,Legendary,Woods,Warrior,1,0,20%,,Minion,,3,8,"Can't attack. Whenever this minion takes damage, deal 3 damage to a random enemy.",Can't Attack,Standard,FALSE,,4,13,9,1,1,0,0,FALSE,FALSE,80%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,47131,Countess Ashmore,Legendary,Woods,Neutral,1,0,35%,,Minion,,6,6,"Battlecry: Draw a Rush, Lifesteal, and Deathrattle card from your deck.",Battlecry,Standard,FALSE,,4,13,10,1,1,0,0,FALSE,FALSE,65%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,48156,Lord Godfrey,Legendary,Woods,Warlock,0,1,100%,,Minion,,4,4,"Battlecry: Deal 2 damage to all other minions. If any die, repeat this Battlecry.",Battlecry,Standard,FALSE,,4,13,8,1,1,0,0,FALSE,FALSE,0%,100%,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,46887,Hagatha the Witch,Legendary,Woods,Shaman,1,0,75%,,Hero,,,30,Battlecry: Deal 3 damage to all minions.,Battlecry,Standard,FALSE,,4,13,7,1,1,0,0,FALSE,FALSE,25%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,47520,Splintergraft,Legendary,Woods,Druid,1,0,15%,,Minion,,8,8,Battlecry: Choose a friendly minion. Add a 10/10 copy to your hand that costs (10).,Battlecry,Standard,FALSE,,4,13,1,1,1,0,0,FALSE,FALSE,85%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,47211,Tess Greymane,Legendary,Woods,Rogue,1,0,35%,,Minion,,6,6,Battlecry: Replay every card from another class you've played this game (targets chosen randomly).,Battlecry,Standard,FALSE,,4,13,6,1,1,0,0,FALSE,FALSE,65%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,48158,Baku the Mooneater,Legendary,Woods,Neutral,1,0,100%,,Minion,Beast,7,8,"Start of Game: If your deck has only odd- Cost cards, upgrade your Hero Power.",Start of Game,Standard,FALSE,,4,13,10,1,1,0,0,FALSE,FALSE,0%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,48111,Shudderwock,Legendary,Woods,Shaman,1,0,70%,,Minion,,6,6,Battlecry: Repeat all other Battlecries from cards you played this game (targets chosen randomly).,Battlecry,Standard,FALSE,,4,13,7,1,1,0,0,FALSE,FALSE,30%,100%,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,46678,Emeriss,Legendary,Woods,Hunter,0,0,15%,,Minion,Dragon,8,8,Battlecry: Double the Attack and Health of all minions in your hand.,Battlecry,Standard,FALSE,,4,13,2,0,0,0,1,TRUE,FALSE,85%,100%,0.85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,43420,Shifting Scroll,Common,KnC,Mage,2,0,25%,25%,Spell,,,,"Each turn this is in your hand, transform it into a random Mage spell.",,Standard,FALSE,,1,12,3,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,45590,Arcane Artificer,Common,KnC,Mage,2,0,55%,55%,Minion,Elemental,1,2,"Whenever you cast a spell, gain Armor equal to its Cost.",,Standard,FALSE,,1,12,3,2,1,0,0,FALSE,FALSE,45%,45%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,43282,Barkskin,Common,KnC,Druid,2,1,25%,25%,Spell,,,,Give a minion +3 Health. Gain 3 Armor.,,Standard,FALSE,,1,12,1,2,1,50,0,FALSE,FALSE,75%,75%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,45537,Candleshot,Common,KnC,Hunter,2,1,75%,75%,Weapon,,1,,Your hero is Immune while attacking.,,Standard,FALSE,,1,12,2,2,1,50,0,FALSE,FALSE,25%,25%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,43128,Dark Pact,Common,KnC,Warlock,2,0,65%,65%,Spell,,,,Destroy a friendly minion. Restore 4 Health to your hero.,,Standard,FALSE,,1,12,8,2,1,0,0,FALSE,FALSE,35%,35%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,45707,Dire Mole,Common,KnC,Neutral,2,0,90%,90%,Minion,Beast,1,3,,,Standard,FALSE,,1,12,10,2,1,0,0,FALSE,FALSE,10%,10%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,43122,Kobold Librarian,Common,KnC,Warlock,2,0,80%,80%,Minion,,2,1,Battlecry: Draw a card. Deal 2 damage to your hero.,Battlecry,Standard,FALSE,,1,12,8,2,1,0,0,FALSE,FALSE,20%,20%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,45979,Psionic Probe,Common,KnC,Priest,2,1,25%,25%,Spell,,,,Copy a spell in your opponent's deck and add it to your hand.,,Standard,FALSE,,1,12,5,2,1,50,0,FALSE,FALSE,75%,75%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,43463,Wax Elemental,Common,KnC,Neutral,2,1,40%,40%,Minion,Elemental,0,2,Taunt Divine Shield,Divine Shield; Taunt,Standard,FALSE,,1,12,10,2,1,50,0,FALSE,FALSE,60%,60%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,43237,Cavern Shinyfinder,Common,KnC,Rogue,2,0,40%,40%,Minion,,3,1,Battlecry: Draw a weapon from your deck.,Battlecry,Standard,FALSE,,1,12,6,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,45520,Cheat Death,Common,KnC,Rogue,2,0,40%,40%,Spell,,,,"Secret: When a friendly minion dies, return it to your hand. It costs (2) less.",Secret,Standard,FALSE,,1,12,6,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,43322,Crushing Hand,Common,KnC,Shaman,2,0,25%,25%,Spell,,,,Deal 8 damage to a minion. Overload: (3),Overload,Standard,FALSE,,1,12,7,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,46007,Drygulch Jailor,Common,KnC,Paladin,2,0,40%,40%,Minion,,1,1,Deathrattle: Add 3 Silver Hand Recruits to your hand.,Deathrattle,Standard,FALSE,,1,12,4,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,46031,Drywhisker Armorer,Common,KnC,Warrior,2,0,45%,45%,Minion,,2,2,"Battlecry: For each enemy minion, gain 2 Armor.",Battlecry,Standard,FALSE,,1,12,9,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,43329,Kobold Hermit,Common,KnC,Shaman,2,0,25%,25%,Minion,,1,1,Battlecry: Choose a basic Totem. Summon it.,Battlecry,Standard,FALSE,,1,12,7,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,45930,Plated Beetle,Common,KnC,Neutral,2,1,75%,75%,Minion,Beast,2,3,Deathrattle: Gain 3 Armor.,Deathrattle,Standard,FALSE,,1,12,10,2,1,50,0,FALSE,FALSE,25%,25%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,43373,Potion of Heroism,Common,KnC,Paladin,2,0,40%,40%,Spell,,,,Give a minion Divine Shield. Draw a card.,,Standard,FALSE,,1,12,4,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,45269,Raven Familiar,Common,KnC,Mage,2,0,55%,55%,Minion,Beast,2,2,"Battlecry: Reveal a spell in each deck. If yours costs more, draw it.",Battlecry,Standard,FALSE,,1,12,3,2,1,0,0,FALSE,FALSE,45%,45%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,45529,Sudden Betrayal,Common,KnC,Rogue,2,0,25%,25%,Spell,,,,"Secret: When a minion attacks your hero, instead it attacks one of its neighbors.",Secret,Standard,FALSE,,1,12,6,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,43121,Vulgar Homunculus,Common,KnC,Warlock,2,0,65%,65%,Minion,Demon,2,4,Taunt Battlecry: Deal 2 damage to your hero.,Battlecry; Taunt,Standard,FALSE,,1,12,8,2,1,0,0,FALSE,FALSE,35%,35%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,46258,Benevolent Djinn,Common,KnC,Paladin,2,2,25%,25%,Minion,Elemental,2,4,"At the end of your turn, restore 3 Health to your hero.",,Standard,FALSE,,1,12,4,2,1,100,0,FALSE,FALSE,75%,75%,2,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,43523,Boisterous Bard,Common,KnC,Neutral,2,2,25%,25%,Minion,,3,2,Battlecry: Give your other minions +1 Health.,Battlecry,Standard,FALSE,,1,12,10,2,1,100,0,FALSE,FALSE,75%,75%,2,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,43358,Cave Hydra,Common,KnC,Hunter,2,1,35%,35%,Minion,Beast,2,4,Also damages the minions next to whomever this attacks.,,Standard,FALSE,,1,12,2,2,1,50,0,FALSE,FALSE,65%,65%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
